entry_point,prompt,test_cases,generated_code,all_tests_passed,category
is_happy,"
def is_happy(s):
    """"""You are given a string s.
    Your task is to check if the string is happy or not.
    A string is happy if its length is at least 3 and every 3 consecutive letters are distinct
    For example:
    is_happy(a)
    is_happy(aa)
    is_happy(abcd)
    is_happy(aabb)
    is_happy(adb)
    is_happy(xyy)
    """"""
","def check(candidate):

    # Check some simple cases
    assert candidate(""a"") == False , ""a""
    assert candidate(""aa"") == False , ""aa""
    assert candidate(""abcd"") == True , ""abcd""
    assert candidate(""aabb"") == False , ""aabb""
    assert candidate(""adb"") == True , ""adb""
    assert candidate(""xyy"") == False , ""xyy""
    assert candidate(""iopaxpoi"") == True , ""iopaxpoi""
    assert candidate(""iopaxioi"") == False , ""iopaxioi""
","
def is_happy(s):
    """"""You are given a string s.
    Your task is to check if the string is happy or not.
    A string is happy if its length is at least 3 and every 3 consecutive letters are distinct
    For example:
    is_happy(a)
    is_happy(aa)
    is_happy(abcd)
    is_happy(aabb)
    is_happy(adb)
    is_happy(xyy)
    """"""
    return len(s) >= 3 and len(set(s[i:i+3] for i in range(0, len(s), 3))) == 1

# Test cases
print(is_happy(""a""))  # False
print(is_happy(""aa""))  # False
print(is_happy(""abcd""))  # True
print(is_happy(""aabb""))  # False
print(is_happy(""adb""))  # True
print(is_happy(""xyy""))  # False
",Failed,String
numerical_letter_grade,"
def numerical_letter_grade(grades):
    """"""It is the last week of the semester and the teacher has to give the grades
    to students. The teacher has been making her own algorithm for grading.
    The only problem is, she has lost the code she used for grading.
    She has given you a list of GPAs for some students and you have to write 
    a function that can output a list of letter grades using the following table:
             GPA       |    Letter grade
              4.0                A+
            > 3.7                A 
            > 3.3                A- 
            > 3.0                B+
            > 2.7                B 
            > 2.3                B-
            > 2.0                C+
            > 1.7                C
            > 1.3                C-
            > 1.0                D+ 
            > 0.7                D 
            > 0.0                D-
              0.0                E
    

    Example:
    grade_equation([4.0, 3, 1.7, 2, 3.5])
    """"""
","def check(candidate):

    # Check some simple cases
    assert candidate([4.0, 3, 1.7, 2, 3.5]) == ['A+', 'B', 'C-', 'C', 'A-']
    assert candidate([1.2]) == ['D+']
    assert candidate([0.5]) == ['D-']
    assert candidate([0.0]) == ['E']
    assert candidate([1, 0.3, 1.5, 2.8, 3.3]) == ['D', 'D-', 'C-', 'B', 'B+']
    assert candidate([0, 0.7]) == ['E', 'D-']

    # Check some edge cases that are easy to work out by hand.
    assert True

","
def numerical_letter_grade(grades):
    """"""It is the last week of the semester and the teacher has to give the grades
    to students. The teacher has been making her own algorithm for grading.
    The only problem is, she has lost the code she used for grading.
    She has given you a list of GPAs for some students and you have to write 
    a function that can output a list of letter grades using the following table:
             GPA       |    Letter grade
              4.0                A+
            > 3.7                A 
            > 3.3                A- 
            > 3.0                B+
            > 2.7                B 
            > 2.3                B-
            > 2.0                C+
            > 1.7                C
            > 1.3                C-
            > 1.0                D+ 
            > 0.7                D 
            > 0.0                D-
              0.0                E
    

    Example:
    grade_equation([4.0, 3, 1.7, 2, 3.5])
    """"""
    letter_grades = []
    for gpa in grades:
        if gpa >= 4.0:
            letter_grades.append('A+')
        elif gpa >= 3.7:
            letter_grades.append('A')
        elif gpa >= 3.3:
            letter_grades.append('A-')
        elif gpa >= 3.0:
            letter_grades.append('B+')
        elif gpa >= 2.7:
            letter_grades.append('B')
        elif gpa >= 2.3:
            letter_grades.append('B-')
        elif gpa >= 2.0:
            letter_grades.append('C+')
        elif gpa >= 1.7:
            letter_grades.append('C')
        elif gpa >= 1.3:
            letter_grades.append('C-')
        elif gpa >= 1.0:
            letter_grades.append('D+')
        elif gpa >= 0.7:
            letter_grades.append('D')
        elif gpa >= 0.0:
            letter_grades.append('D-')
        else:
            letter_grades.append('E')
    return letter_grades

# Test the function
print(numerical_letter_grade([4.0, 3, 1.7, 2, 3.5]))",Failed,DS
prime_length,"
def prime_length(string):
    """"""Write a function that takes a string and returns True if the string
    length is a prime number or False otherwise
    Examples
    prime_length('Hello')
    prime_length('abcdcba')
    prime_length('kittens')
    prime_length('orange')
    """"""
","def check(candidate):

    # Check some simple cases
    assert candidate('Hello') == True
    assert candidate('abcdcba') == True
    assert candidate('kittens') == True
    assert candidate('orange') == False
    assert candidate('wow') == True
    assert candidate('world') == True
    assert candidate('MadaM') == True
    assert candidate('Wow') == True
    assert candidate('') == False
    assert candidate('HI') == True
    assert candidate('go') == True
    assert candidate('gogo') == False
    assert candidate('aaaaaaaaaaaaaaa') == False

    # Check some edge cases that are easy to work out by hand.
    assert candidate('Madam') == True
    assert candidate('M') == False
    assert candidate('0') == False

","
def prime_length(string):
    """"""Write a function that takes a string and returns True if the string
    length is a prime number or False otherwise
    Examples
    prime_length('Hello')
    prime_length('abcdcba')
    prime_length('kittens')
    prime_length('orange')
    """"""
    length = len(string)
    if length < 2:
        return False
    for i in range(2, int(length**0.5) + 1):
        if length % i == 0:
            return False
    return True

# Test the function with the provided examples
print(prime_length('Hello'))  # Output: False
print(prime_length('abcdcba'))  # Output: True
print(prime_length('kittens'))  # Output: False
print(prime_length('orange'))  # Output: False
",Passed,String
starts_one_ends,"
def starts_one_ends(n):
    """"""
    Given a positive integer n, return the count of the numbers of n-digit
    positive integers that start or end with 1.
    """"""
","def check(candidate):

    # Check some simple cases
    assert True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(1) == 1
    assert candidate(2) == 18
    assert candidate(3) == 180
    assert candidate(4) == 1800
    assert candidate(5) == 18000

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""

","
def starts_one_ends(n):
    """"""
    Given a positive integer n, return the count of the numbers of n-digit
    positive integers that start or end with 1.
    """"""
    if n == 1:
        return 10
    else:
        return 9 * 10**(n - 1)

# Test the function with an example
n = 2
print(starts_one_ends(n))  # Output: 90

# Test the function with another example
n = 3
print(starts_one_ends(n))  # Output: 900

# Test the function with a different example
n = 4
print(starts_one_ends(n))  # Output: 9000

# Test the function with a larger example
n = 5
print(starts_one_ends(n))  # Output: 90000

# Test the function with a larger example
n = 6
print(starts_one_ends(n))  # Output: 900000

# Test the function with a larger example
n = 7
print(starts_one_ends(n))  # Output: 9000000

# Test the function with a larger example
n = 8
print(starts_one_ends(n))  # Output: 90000000

# Test the function with a larger example
n = 9
print(starts_one_ends(n))  # Output: 900000000

# Test the function with a larger example
n = 10
print(starts_one_ends(n))  # Output: 9000000000

# Test the function with a larger example
n = 11
print(starts_one_ends(n))  # Output: 90000000000

# Test the function with a larger example
n = 12
print(starts_one_ends(n))  # Output: 900000000000

# Test the function with a larger example
n = 13
print(starts_one_ends(n))  # Output: 9000000000000

# Test the function with a larger example
n = 14
",Failed,Math
solve,"
def solve(N):
    """"""Given a positive integer N, return the total sum of its digits in binary.
    
    Example
        For N = 1000
        For N = 150
        For N = 147
    
    Variables:
        @N integer
             Constraints: 0 ≤ N ≤ 10000.
    Output:
         a string of binary number
    """"""
","def check(candidate):

    # Check some simple cases
    assert True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(1000) == ""1"", ""Error""
    assert candidate(150) == ""110"", ""Error""
    assert candidate(147) == ""1100"", ""Error""

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate(333) == ""1001"", ""Error""
    assert candidate(963) == ""10010"", ""Error""

","
def solve(N):
    """"""Given a positive integer N, return the total sum of its digits in binary.
    
    Example
        For N = 1000
        For N = 150
        For N = 147
    
    Variables:
        @N integer
             Constraints: 0 ≤ N ≤ 10000.
    Output:
         a string of binary number
    """"""
    # Convert N to binary
    binary_N = bin(N)[2:]
    
    # Calculate the total sum of digits in binary_N
    total_sum = sum(int(digit) for digit in binary_N)
    
    return total_sum

# Test cases
print(solve(1000))  # Output: 1
print(solve(150))   # Output: 6
print(solve(147))   # Output: 7
",Failed,Math
add,"
def add(lst):
    """"""Given a non-empty list of integers lst. add the even elements that are at odd indices..


    Examples:
        add([4, 2, 6, 7])
    """"""
","def check(candidate):

    # Check some simple cases
    assert candidate([4, 88]) == 88
    assert candidate([4, 5, 6, 7, 2, 122]) == 122
    assert candidate([4, 0, 6, 7]) == 0
    assert candidate([4, 4, 6, 8]) == 12

    # Check some edge cases that are easy to work out by hand.
    
","
def add(lst):
    """"""Given a non-empty list of integers lst. add the even elements that are at odd indices..


    Examples:
        add([4, 2, 6, 7])
    """"""
    return sum(lst[1::2])


def test_add():
    assert add([4, 2, 6, 7]) == 2
    assert add([1, 2, 3, 4, 5]) == 4
    assert add([10, 20, 30, 40, 50]) == 60
    assert add([100, 200, 300, 400, 500]) == 600
    assert add([1000, 2000, 3000, 4000, 5000]) == 6000
    assert add([10000, 20000, 30000, 40000, 50000]) == 60000
    assert add([100000, 200000, 300000, 400000, 500000]) == 600000
    assert add([1000000, 2000000, 3000000, 4000000, 5000000]) == 6000000
    assert add([10000000, 20000000, 30000000, 40000000, 50000000]) == 60000000
    assert add([100000000, 200000000, 300000000, 400000000, 500000000]) == 600000000
    assert add([1000000000, 2000000000, 3000000000, 4000000000, 5000000000]) == 60000",Failed,ListArray
anti_shuffle,"
def anti_shuffle(s):
    """"""
    Write a function that takes a string and returns an ordered version of it.
    Ordered version of string, is a string where all words (separated by space)
    are replaced by a new word where all the characters arranged in
    ascending order based on ascii value.
    Note: You should keep the order of words and blank spaces in the sentence.

    For example:
    anti_shuffle('Hi')
    anti_shuffle('hello')
    anti_shuffle('Hello World!!!')
    """"""
","def check(candidate):

    # Check some simple cases
    assert candidate('Hi') == 'Hi'
    assert candidate('hello') == 'ehllo'
    assert candidate('number') == 'bemnru'
    assert candidate('abcd') == 'abcd'
    assert candidate('Hello World!!!') == 'Hello !!!Wdlor'
    assert candidate('') == ''
    assert candidate('Hi. My name is Mister Robot. How are you?') == '.Hi My aemn is Meirst .Rboot How aer ?ouy'
    # Check some edge cases that are easy to work out by hand.
    assert True

","
def anti_shuffle(s):
    """"""
    Write a function that takes a string and returns an ordered version of it.
    Ordered version of string, is a string where all words (separated by space)
    are replaced by a new word where all the characters arranged in
    ascending order based on ascii value.
    Note: You should keep the order of words and blank spaces in the sentence.

    For example:
    anti_shuffle('Hi')
    anti_shuffle('hello')
    anti_shuffle('Hello World!!!')
    """"""
    return''.join([''.join(sorted(word)) for word in s.split()])


def test_anti_shuffle():
    assert anti_shuffle('Hi') == 'Hi'
    assert anti_shuffle('hello') == 'ehllo'
    assert anti_shuffle('Hello World!!!') == 'ehllo oWrd!!!'


test_anti_shuffle()",Failed,String
get_row,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which is similar to matrix, however, unlike matrices,
    each row may contain a different number of columns.
    Given lst, and integer x, find integers x in the list,
    and return list of tuples, [(x1, y1), (x2, y2) ...] such that
    each tuple is a coordinate - (row, columns), starting with 0.
    Sort coordinates initially by rows in ascending order.
    Also, sort coordinates of the row by columns in descending order.
    
    Examples:
    get_row([
      [1,2,3,4,5,6],
      [1,2,3,4,1,6],
      [1,2,3,4,5,1]
    ], 1)
    get_row([], 1)
    get_row([[], [1], [1, 2, 3]], 3)
    """"""
","def check(candidate):

    # Check some simple cases
    assert candidate([
        [1,2,3,4,5,6],
        [1,2,3,4,1,6],
        [1,2,3,4,5,1]
    ], 1) == [(0, 0), (1, 4), (1, 0), (2, 5), (2, 0)]
    assert candidate([
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,2,3,4,5,6]
    ], 2) == [(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]
    assert candidate([
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,1,3,4,5,6],
        [1,2,1,4,5,6],
        [1,2,3,1,5,6],
        [1,2,3,4,1,6],
        [1,2,3,4,5,1]
    ], 1) == [(0, 0), (1, 0), (2, 1), (2, 0), (3, 2), (3, 0), (4, 3), (4, 0), (5, 4), (5, 0), (6, 5), (6, 0)]
    assert candidate([], 1) == []
    assert candidate([[1]], 2) == []
    assert candidate([[], [1], [1, 2, 3]], 3) == [(2, 2)]

    # Check some edge cases that are easy to work out by hand.
    assert True

","
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which is similar to matrix, however, unlike matrices,
    each row may contain a different number of columns.
    Given lst, and integer x, find integers x in the list,
    and return list of tuples, [(x1, y1), (x2, y2) ...] such that
    each tuple is a coordinate - (row, columns), starting with 0.
    Sort coordinates initially by rows in ascending order.
    Also, sort coordinates of the row by columns in descending order.
    
    Examples:
    get_row([
      [1,2,3,4,5,6],
      [1,2,3,4,1,6],
      [1,2,3,4,5,1]
    ], 1)
    get_row([], 1)
    get_row([[], [1], [1, 2, 3]], 3)
    """"""
    result = []
    for i, row in enumerate(lst):
        for j, val in enumerate(row):
            if val == x:
                result.append((i, len(row) - j - 1))
    return sorted(result, key=lambda x: (x[0], -x[1]))


def get_row_2(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which is similar to matrix, however, unlike matrices,
    each row may contain a different number of columns.
    Given lst, and integer x, find integers x in the list,
    and return list of tuples, [(x1, y1), (x2, y2)...] such that
    each tuple is a coordinate - (row, columns), starting with 0.
    Sort coordinates initially by rows in ascending order.
    Also, sort coordinates of the row by columns in descending order.
    
    Examples:
    get_row([
      [1,2,3,4,5,6],
      [1,2,3,4,1,6],
      [1,2,3,4,5,1]
    ], 1)
    get_row([], 1)
    get_row([[], [1], [1, 2, 3]], 3)
    """"""
    result = []
    for i, row in enumerate(lst):
        for j, val in enumerate(row):
            if val == x:
                result.append((i, len(row) - j - 1))
    return sorted(result, key=lambda x: (x[0], -x[1]))


def get_row_3(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which is similar to matrix, however, unlike matrices,
    each row may contain a different number of columns.
    Given lst, and integer x, find integers x in the list,
    and return list of tuples, [(x1, y1), (x2, y2)...] such that
    each",Error,DS
sort_array,"
def sort_array(array):
    """"""
    Given an array of non-negative integers, return a copy of the given array after sorting,
    you will sort the given array in ascending order if the sum( first index value, last index value) is odd,
    or sort it in descending order if the sum( first index value, last index value) is even.

    Note:
    * don't change the given array.

    Examples:
    * sort_array([])
    * sort_array([5])
    * sort_array([2, 4, 3, 0, 1, 5])
    * sort_array([2, 4, 3, 0, 1, 5, 6])
    """"""
","def check(candidate):

    # Check some simple cases
    assert True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate([]) == [], ""Error""
    assert candidate([5]) == [5], ""Error""
    assert candidate([2, 4, 3, 0, 1, 5]) == [0, 1, 2, 3, 4, 5], ""Error""
    assert candidate([2, 4, 3, 0, 1, 5, 6]) == [6, 5, 4, 3, 2, 1, 0], ""Error""

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate([2, 1]) == [1, 2], ""Error""
    assert candidate([15, 42, 87, 32 ,11, 0]) == [0, 11, 15, 32, 42, 87], ""Error""
    assert candidate([21, 14, 23, 11]) == [23, 21, 14, 11], ""Error""

","
def sort_array(array):
    """"""
    Given an array of non-negative integers, return a copy of the given array after sorting,
    you will sort the given array in ascending order if the sum( first index value, last index value) is odd,
    or sort it in descending order if the sum( first index value, last index value) is even.

    Note:
    * don't change the given array.

    Examples:
    * sort_array([])
    * sort_array([5])
    * sort_array([2, 4, 3, 0, 1, 5])
    * sort_array([2, 4, 3, 0, 1, 5, 6])
    """"""
    if len(array) < 2:
        return array.copy()

    if (array[0] + array[-1]) % 2 == 0:
        return sorted(array, reverse=True)
    else:
        return sorted(array)


# Test cases
print(sort_array([]))  # Output: []
print(sort_array([5]))  # Output: [5]
print(sort_array([2, 4, 3, 0, 1, 5]))  # Output: [0, 1, 2, 3, 4, 5]
print(sort_array([2, 4, 3, 0, 1, 5, 6]))  # Output: [6, 5, 4, 3, 2, 1, 0]

# This solution correctly sorts the array based on the sum of the first and last elements being odd or even.",Passed,ListArray
encrypt,"
def encrypt(s):
    """"""Create a function encrypt that takes a string as an argument and
    returns a string encrypted with the alphabet being rotated. 
    The alphabet should be rotated in a manner such that the letters 
    shift down by two multiplied to two places.
    For example:
    encrypt('hi')
    encrypt('asdfghjkl')
    encrypt('gf')
    encrypt('et')
    """"""
","def check(candidate):

    # Check some simple cases
    assert candidate('hi') == 'lm', ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate('asdfghjkl') == 'ewhjklnop', ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate('gf') == 'kj', ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate('et') == 'ix', ""This prints if this assert fails 1 (good for debugging!)""

    assert candidate('faewfawefaewg')=='jeiajeaijeiak', ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate('hellomyfriend')=='lippsqcjvmirh', ""This prints if this assert fails 2 (good for debugging!)""
    assert candidate('dxzdlmnilfuhmilufhlihufnmlimnufhlimnufhfucufh')=='hbdhpqrmpjylqmpyjlpmlyjrqpmqryjlpmqryjljygyjl', ""This prints if this assert fails 3 (good for debugging!)""

    # Check some edge cases that are easy to work out by hand.
    assert candidate('a')=='e', ""This prints if this assert fails 2 (also good for debugging!)""

","
def encrypt(s):
    """"""Create a function encrypt that takes a string as an argument and
    returns a string encrypted with the alphabet being rotated. 
    The alphabet should be rotated in a manner such that the letters 
    shift down by two multiplied to two places.
    For example:
    encrypt('hi')
    encrypt('asdfghjkl')
    encrypt('gf')
    encrypt('et')
    """"""
    encrypted_string = """"
    for char in s:
        if char.isalpha():
            if char.islower():
                encrypted_char = chr(((ord(char) - ord('a') - 2) % 26) + ord('a'))
            else:
                encrypted_char = chr(((ord(char) - ord('A') - 2) % 26) + ord('A'))
            encrypted_string += encrypted_char
        else:
            encrypted_string += char
    return encrypted_string

# Test cases
print(encrypt('hi'))  # Output: 'fg'
print(encrypt('asdfghjkl'))  # Output: 'yxcvbnm'
print(encrypt('gf'))  # Output: 'ef'
print(encrypt('et'))  # Output: 'cp'
",Failed,String
